university_name,programme_name,degree_level,field,specialization,language,study_mode,duration,programme_url,application_url,minimum_cgpa,minimum_cgpa_scale,minimum_degree,required_field,ielts_required,ielts_minimum_score,toefl_required,toefl_minimum_score,gre_required,work_experience_required,other_requirements,source_url
ETH Zurich,Materials Science and Engineering,Master,Materials Science and Engineering,"Materials engineering, modelling, characterisation, energy and sustainability",English,Full-time,3 semesters,https://ethz.ch/en/studies/master/degree-programmes/engineering-sciences/materials-science.html,,,,Bachelor's degree,Materials science and engineering or related discipline,false,,false,,false,,Admission assessed on academic background and programme requirements,https://ethz.ch/en/studies/master/degree-programmes/engineering-sciences/materials-science.html
EPFL,Materials Science and Engineering,Master,Materials Science and Engineering,"Materials Research and Development; polymers, ceramics, metals, alloys and composites",English,Full-time,2 years,https://sti-next.epfl.ch/smx/msc-in-materials-science-engineering/,,,,Bachelor's degree,Materials Science and Engineering or equivalent related degree,false,,false,,false,,120 ECTS; 30 ECTS specialisation/minor; 30 ECTS thesis and industrial internship,https://sti-next.epfl.ch/smx/msc-in-materials-science-engineering/
Ghent University,Materials Engineering,Master,Materials Engineering,"Metals, polymers, textiles, composites and sustainable materials",English,,,,,,,,,,,,,,,,https://www.ugent.be/
KU Leuven,Master of Materials Engineering,Master,Materials Engineering,Metals and Ceramics; Polymers and Composites; Computational Materials Engineering; Nanomaterials; Biomaterials; Sustainable Materials Engineering,English,Full-time,2 years,https://eng.kuleuven.be/en/study/masters/materials-engineering,,,,Bachelor's degree,Relevant engineering or science bachelor's degree,false,,false,,false,,EIT-KIC Dual Degree Tracks in Sustainable Materials Engineering are listed as an option,https://eng.kuleuven.be/en/study/masters/materials-engineering
University of Padua,Materials Engineering,Master,Materials Engineering,AMASE; Functional Materials; Advanced Technologies,English,Full-time,2 years,https://www.unipd.it/en/corsi-di-laurea/materials-engineering,,,,Bachelor's degree,Relevant bachelor's degree,false,,false,,false,,120 ECTS; open admission with requirements; three curricula,https://www.unipd.it/en/corsi-di-laurea/materials-engineering
Politecnico di Milano,Materials Engineering and Nanotechnology,Master,Materials Engineering and Nanotechnology,Surface Engineering; Polymer Engineering; Nanomaterials and Nanotechnology; Engineering Applications; Microengineering and Microtechnology; Sustainability Engineering,English,Full-time,2 years,https://www.polimi.it/en/education/laurea-programmes/programme-detail/materials-engineering-and-nanotechnology,,,,Bachelor's degree,Industrial Engineering or other material-related degree such as Applied Physics or Chemistry,false,,false,,false,,120 CFU; suitability assessed against curricular requirements,https://www.polimi.it/en/education/laurea-programmes/programme-detail/materials-engineering-and-nanotechnology
Imperial College London,Advanced Materials Science and Engineering,Master,Materials Science and Engineering,Materials for energy transition; Theory and Simulation; Energy Generation and Storage; Nuclear Materials,English,Full-time,1 year,https://www.imperial.ac.uk/study/courses/postgraduate-taught/advanced-materials/,,,,Bachelor's degree,"2:1 in Materials, Mechanical/Civil/Chemical Engineering, Physics or Chemistry",false,,false,,false,,"For 2026/27, Theory and Simulation specialisation includes Machine Learning for Materials and DFT modelling options",https://www.imperial.ac.uk/study/courses/postgraduate-taught/advanced-materials/
University of Leeds,Materials Science and Engineering,Master,Materials Science and Engineering,Advanced materials and manufacturing,English,Full-time,12 months,https://courses.leeds.ac.uk/g591/materials-science-and-engineering-msc,,,,Bachelor's degree,"Engineering, science, mathematics or related subject; 2:2 honours minimum",true,6.5,false,,false,,No less than 6.0 in any IELTS component,https://courses.leeds.ac.uk/g591/materials-science-and-engineering-msc
University of Oxford,MSc by Research in Materials,Master,Materials Science,Materials research across the Department of Materials,English,Full-time,Programme-specific research duration,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-materials,,,,Bachelor's degree,Relevant prior degree and research preparation,false,,false,,false,,Research degree; exact project and admission requirements vary by route,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-materials
University of Cambridge,Materials Science and Metallurgy postgraduate study,Master,Materials Science and Metallurgy,Materials science and metallurgy research,English,,,,,,,,,,,,,,,,https://www.cam.ac.uk/
University of Birmingham,Materials Science and Engineering MSc,Master,Materials Science and Engineering,"Metallurgy, manufacturing and non-metallic materials",English,Full-time,,,,,,Bachelor's degree,Relevant engineering/science degree,false,,false,,false,,Programme information and entry requirements should be checked on the current course page,https://www.birmingham.ac.uk/study/postgraduate/subjects/materials-science-and-engineering-courses/materials-science-engineering-msc
University of Sheffield,Materials Science and Engineering MSc,Master,Materials Science and Engineering,"Metals, ceramics, polymers and composites",English,Full-time,,,,,,Bachelor's degree,Relevant science or engineering degree,false,,false,,false,,Current 2026 course listing,https://sheffield.ac.uk/postgraduate/taught/courses/2026/materials-science-and-engineering-msc
Northwestern University,Materials Science and Engineering MS,Master,Materials Science and Engineering,"Metals, ceramics, polymers, biomaterials and nanomaterials",English,Full-time,,https://www.tgs.northwestern.edu/admission/academic-programs/explore-programs/materials-science-and-engineering.html,,,,Bachelor's degree,Relevant bachelor's degree,false,,false,,false,,Graduate M.S. and Ph.D. routes are offered,https://www.tgs.northwestern.edu/admission/academic-programs/explore-programs/materials-science-and-engineering.html
Cornell University,Materials Science and Engineering M.Eng.,Master,Materials Science and Engineering,"Metals, polymers, ceramics, semiconductors and composites",English,Full-time,,https://gradschool.cornell.edu/academics/fields-of-study/field/materials-science-and-engineering/,,,,Bachelor's degree,Relevant engineering/science bachelor's degree,false,,false,,false,,Graduate M.Eng. and research degrees are available,https://gradschool.cornell.edu/academics/fields-of-study/field/materials-science-and-engineering/
Carnegie Mellon University,Materials Science and Engineering MS,Master,Materials Science and Engineering,Materials science and engineering,English,Full-time,,https://engineering.cmu.edu/education/graduate-studies/programs/mse.html,,,,Bachelor's degree,Relevant bachelor's degree,false,,false,,false,,M.S. and Ph.D. graduate study available,https://engineering.cmu.edu/education/graduate-studies/programs/mse.html
University of Florida,Materials Science and Engineering MS,Master,Materials Science and Engineering,"Ceramics, composites, polymers and computational materials",English,Full-time,,https://mse.ufl.edu/academics/graduate/mse-ms/,,,,Bachelor's degree,Relevant bachelor's degree,false,,false,,false,,Thesis and non-thesis M.S. options,https://mse.ufl.edu/academics/graduate/mse-ms/
University of Toronto,Materials Science and Engineering graduate programs,Master,Materials Science and Engineering,"MEng, MASc and PhD materials engineering/science",English,Full-time,,https://www.sgs.utoronto.ca/programs/materials-science-and-engineering/,,,,Bachelor's degree,Relevant engineering/science bachelor's degree,false,,false,,false,,Graduate routes include MEng and MASc,https://www.sgs.utoronto.ca/programs/materials-science-and-engineering/
University of British Columbia,Materials Engineering graduate programs,Master,Materials Engineering,"Metals, polymers, ceramics, composites, extraction and processing",English,Full-time,,https://www.grad.ubc.ca/unit/department-materials-engineering,,,,Bachelor's degree,Relevant engineering/science bachelor's degree,false,,false,,false,,Graduate degrees include MASc, MSc and PhD,https://www.grad.ubc.ca/unit/department-materials-engineering
