name,country,state_region,city,website_url,official_email,description,source_url
University of Leeds,United Kingdom,West Yorkshire,Leeds,https://www.leeds.ac.uk,pgchemical@leeds.ac.uk,"Offers an accredited M.Sc. Materials Science and Engineering focused on engineering materials and materials or metallurgical production industries.",https://courses.leeds.ac.uk/g591/materials-science-and-engineering-msc
Northwestern University,United States,Illinois,Evanston,https://www.northwestern.edu,,"Offers M.S. and Ph.D. graduate programmes in Materials Science and Engineering across metals, ceramics, polymers, biomaterials and nanomaterials.",https://www.tgs.northwestern.edu/
Cornell University,United States,New York,Ithaca,https://www.cornell.edu,,"Offers a Master of Engineering and graduate research in Materials Science and Engineering, including metals, polymers, ceramics, semiconductors and composites.",https://gradschool.cornell.edu/
Carnegie Mellon University,United States,Pennsylvania,Pittsburgh,https://www.cmu.edu,,"Offers M.S. degrees in Materials Science and Materials Science and Engineering, plus Ph.D. study.",https://engineering.cmu.edu/education/graduate-studies/programs/mse.html
Pennsylvania State University,United States,Pennsylvania,University Park,https://psu.edu,,"Offers M.S. and Ph.D. Materials Science and Engineering and an M.S./M.Eng. in Additive Manufacturing and Design.",https://bulletins.psu.edu/graduate/programs/majors/materials-science-engineering/
University of Florida,United States,Florida,Gainesville,https://www.ufl.edu,,"Offers M.S. Materials Science and Engineering with thesis and non-thesis options and research areas including ceramics, composites, polymers and computational materials.",https://mse.ufl.edu/academics/graduate/mse-ms/
Stanford University,United States,California,Stanford,https://www.stanford.edu,,"Offers graduate Materials Science and Engineering degrees including master's and doctoral programmes.",https://mse.stanford.edu/academics-admissions/graduate-programs-0
University of California Berkeley,United States,California,Berkeley,https://www.berkeley.edu,,"Offers M.S./M.Eng. and Ph.D. graduate study in Materials Science and Engineering.",https://grad.berkeley.edu/program/materials-science-and-engineering-ms-phd/
Massachusetts Institute of Technology,United States,Massachusetts,Cambridge,https://www.mit.edu,,"Offers graduate degrees in Materials Science and Engineering, including a research-based master's route and doctoral degrees.",https://catalog.mit.edu/schools/engineering/materials-science-engineering/
Purdue University,United States,Indiana,West Lafayette,https://www.purdue.edu,,"Offers M.S. and Ph.D. study in Materials Science and Engineering, covering structure, properties and processing of materials.",https://engineering.purdue.edu/MSE/academics/graduate/grad-program
University of Michigan-Dearborn,United States,Michigan,Dearborn,https://umich.edu,,"Offers a 30-credit M.S. in Materials Science and Engineering with advanced engineering applications including automotive technology.",https://catalog.umd.umich.edu/graduate/college-engineering-computer-science/materials-science-engineering/
Florida International University,United States,Florida,Miami,https://www.fiu.edu,,"Offers an M.S. in Materials Science and Engineering with specialisation tracks and applications in metallurgy, ceramics and advanced materials.",https://cec.fiu.edu/degrees-programs/graduate/ms-in-materials-science-and-engineering/
University of Toronto,Canada,Ontario,Toronto,https://www.utoronto.ca,,"Offers MEng and MASc graduate programmes in Materials Science and Engineering, plus PhD study.",https://www.sgs.utoronto.ca/programs/materials-science-and-engineering/
University of British Columbia,Canada,British Columbia,Vancouver,https://www.ubc.ca,graduate@mtrl.ubc.ca,"Offers graduate Materials Engineering degrees including MASc, MSc and PhD, covering extraction, processing, performance, metals, polymers, ceramics and composites.",https://www.grad.ubc.ca/unit/department-materials-engineering
University of Oslo,Norway,Oslo,Oslo,https://www.uio.no,,"Offers the master's programme Materials Science for Energy and Nanotechnology, covering energy materials, functional materials and nanoscience.",https://studyinnorway.no/
The University of Tokyo,Japan,Tokyo,Tokyo,https://www.u-tokyo.ac.jp,ams-office@ams.k.u-tokyo.ac.jp,"Has an Advanced Materials Science graduate field within the Graduate School of Frontier Sciences and extensive materials science graduate education.",https://www.issp.u-tokyo.ac.jp/maincontents/education_en.html
Tohoku University,Japan,Miyagi,Sendai,https://www.tohoku.ac.jp,,"Its Graduate School of Engineering includes metallurgy, materials science and materials processing research areas.",https://www.material.tohoku.ac.jp/english/labs/mts/
Nankai University,China,Tianjin,Tianjin,https://www.nankai.edu.cn,,"Has a School of Materials Science and Engineering with postgraduate study and research in materials science and related fields.",https://mse.nankai.edu.cn/ns_en/list.htm
Northwestern Polytechnical University,China,Shaanxi,Xi'an,https://www.nwpu.edu.cn,,"Official 2026 admissions information lists graduate disciplines in Materials Science, Materials Processing Engineering and Materials Engineering.",https://enhuaxue.nwpu.edu.cn/info/1039/1475.htmAA
